iShares Russell 2000 ETF
Fund Holdings as of,"Jan 02, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"299,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FLR","FLUOR CORP","Industrials","Equity","167,005,664.40","0.23","167,005,664.40","4,004,932.00","41.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CWAN","CLEARWATER ANALYTICS HOLDINGS INC","Information Technology","Equity","166,958,157.61","0.23","166,958,157.61","6,924,851.00","24.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EAT","BRINKER INTERNATIONAL INC","Consumer Discretionary","Equity","166,866,097.12","0.23","166,866,097.12","1,101,281.00","151.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FSS","FEDERAL SIGNAL CORP","Industrials","Equity","166,320,522.48","0.23","166,320,522.48","1,492,467.00","111.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APLD","APPLIED DIGITAL CORP","Information Technology","Equity","166,297,298.28","0.23","166,297,298.28","5,915,948.00","28.11","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","163,905,220.87","0.22","163,905,220.87","163,905,221.00","1.00","United States","-","USD","1.00","USD","-"
"SMTC","SEMTECH CORP","Information Technology","Equity","163,062,681.08","0.22","163,062,681.08","2,166,658.00","75.26","United States","NASDAQ","USD","1.00","USD","-"
"PRAX","PRAXIS PRECISION MEDICINES INC","Health Care","Equity","160,282,614.40","0.22","160,282,614.40","559,646.00","286.40","United States","NASDAQ","USD","1.00","USD","-"
"UEC","URANIUM ENERGY CORP","Energy","Equity","155,380,768.80","0.21","155,380,768.80","11,852,080.00","13.11","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","155,353,929.12","0.21","155,353,929.12","990,904.00","156.78","United States","NASDAQ","USD","1.00","USD","-"
"PIPR","PIPER SANDLER COMPANIES","Financials","Equity","154,495,306.41","0.21","154,495,306.41","441,453.00","349.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBP","INSTALLED BUILDING PRODUCTS INC","Consumer Discretionary","Equity","154,299,393.60","0.21","154,299,393.60","576,928.00","267.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GKOS","GLAUKOS CORP","Health Care","Equity","153,986,386.56","0.21","153,986,386.56","1,390,773.00","110.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","Industrials","Equity","153,918,465.20","0.21","153,918,465.20","1,560,248.00","98.65","United States","NASDAQ","USD","1.00","USD","-"
"ESNT","ESSENT GROUP LTD","Financials","Equity","153,131,187.62","0.21","153,131,187.62","2,367,886.00","64.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KRYS","KRYSTAL BIOTECH INC","Health Care","Equity","152,153,102.39","0.21","152,153,102.39","616,229.00","246.91","United States","NASDAQ","USD","1.00","USD","-"
"GATX","GATX CORP","Industrials","Equity","151,965,059.22","0.21","151,965,059.22","889,621.00","170.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRNO","TERRENO REALTY REIT CORP","Real Estate","Equity","150,763,875.08","0.21","150,763,875.08","2,554,454.00","59.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","Real Estate","Equity","149,044,423.86","0.20","149,044,423.86","4,958,231.00","30.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXNM","TXNM ENERGY INC","Utilities","Equity","148,285,887.60","0.20","148,285,887.60","2,511,192.00","59.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTCT","PTC THERAPEUTICS INC","Health Care","Equity","148,147,490.88","0.20","148,147,490.88","1,930,512.00","76.74","United States","NASDAQ","USD","1.00","USD","-"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","Real Estate","Equity","147,376,530.84","0.20","147,376,530.84","1,543,533.00","95.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GBCI","GLACIER BANCORP INC","Financials","Equity","143,863,113.60","0.20","143,863,113.60","3,222,740.00","44.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLY","VALLEY NATIONAL","Financials","Equity","143,827,657.82","0.20","143,827,657.82","12,303,478.00","11.69","United States","NASDAQ","USD","1.00","USD","-"
"ANF","ABERCROMBIE AND FITCH CLASS A","Consumer Discretionary","Equity","143,315,296.78","0.20","143,315,296.78","1,158,197.00","123.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BOOT","BOOT BARN HOLDINGS INC","Consumer Discretionary","Equity","142,869,557.49","0.20","142,869,557.49","765,523.00","186.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MIR","MIRION TECHNOLOGIES INC CLASS A","Information Technology","Equity","142,101,459.39","0.19","142,101,459.39","5,963,133.00","23.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMHC","TAYLOR MORRISON HOME CORP","Consumer Discretionary","Equity","140,726,654.70","0.19","140,726,654.70","2,392,090.00","58.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENS","ENERSYS","Industrials","Equity","140,184,024.82","0.19","140,184,024.82","930,034.00","150.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY CORP","Financials","Equity","139,135,427.42","0.19","139,135,427.42","2,158,477.00","64.46","United States","NASDAQ","USD","1.00","USD","-"
"IRTC","IRHYTHM TECHNOLOGIES INC","Health Care","Equity","138,906,706.32","0.19","138,906,706.32","792,756.00","175.22","United States","NASDAQ","USD","1.00","USD","-"
"RYTM","RHYTHM PHARMACEUTICALS INC","Health Care","Equity","138,130,364.02","0.19","138,130,364.02","1,315,402.00","105.01","United States","NASDAQ","USD","1.00","USD","-"
"CVLT","COMMVAULT SYSTEMS INC","Information Technology","Equity","137,937,157.12","0.19","137,937,157.12","1,110,784.00","124.18","United States","NASDAQ","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","136,656,133.88","0.19","136,656,133.88","2,819,978.00","48.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIPC","BROOKFIELD INFRASTRUCTURE CORP CLA","Utilities","Equity","136,032,213.60","0.19","136,032,213.60","3,004,245.00","45.28","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","134,963,231.37","0.18","134,963,231.37","3,515,583.00","38.39","United States","NASDAQ","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","Financials","Equity","134,004,338.82","0.18","134,004,338.82","4,801,302.00","27.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","Industrials","Equity","133,956,160.36","0.18","133,956,160.36","1,453,202.00","92.18","United States","NASDAQ","USD","1.00","USD","-"
"PCVX","VAXCYTE INC","Health Care","Equity","132,066,034.50","0.18","132,066,034.50","2,842,575.00","46.46","United States","NASDAQ","USD","1.00","USD","-"
"KRG","KITE REALTY GROUP TRUST REIT","Real Estate","Equity","131,530,773.42","0.18","131,530,773.42","5,524,182.00","23.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROAD","CONSTRUCTION PARTNERS INC CLASS A","Industrials","Equity","130,895,206.40","0.18","130,895,206.40","1,167,040.00","112.16","United States","NASDAQ","USD","1.00","USD","-"
"CIFR","CIPHER MINING INC","Information Technology","Equity","130,881,841.20","0.18","130,881,841.20","8,079,126.00","16.20","United States","NASDAQ","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS INC","Utilities","Equity","130,689,464.15","0.18","130,689,464.15","1,630,561.00","80.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMI","BADGER METER INC","Information Technology","Equity","129,802,402.37","0.18","129,802,402.37","735,883.00","176.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GVA","GRANITE CONSTRUCTION INC","Industrials","Equity","129,329,295.41","0.18","129,329,295.41","1,089,823.00","118.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACA","ARCOSA INC","Industrials","Equity","129,210,346.92","0.18","129,210,346.92","1,209,948.00","106.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COMP","COMPASS INC CLASS A","Real Estate","Equity","128,309,244.00","0.18","128,309,244.00","12,219,928.00","10.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OPCH","OPTION CARE HEALTH INC","Health Care","Equity","128,215,288.24","0.18","128,215,288.24","3,976,901.00","32.24","United States","NASDAQ","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","127,877,817.90","0.17","127,877,817.90","1,836,006.00","69.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACHR","ARCHER AVIATION INC CLASS A","Industrials","Equity","127,704,243.27","0.17","127,704,243.27","15,707,779.00","8.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP INC","Financials","Equity","127,533,202.56","0.17","127,533,202.56","1,526,978.00","83.52","United States","NASDAQ","USD","1.00","USD","-"
"ESE","ESCO TECHNOLOGIES INC","Industrials","Equity","127,536,438.44","0.17","127,536,438.44","645,362.00","197.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AUB","ATLANTIC UNION BANKSHARES CORP","Financials","Equity","127,190,016.00","0.17","127,190,016.00","3,580,800.00","35.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTGX","PROTAGONIST THERAPEUTICS INC","Health Care","Equity","126,113,629.02","0.17","126,113,629.02","1,446,589.00","87.18","United States","NASDAQ","USD","1.00","USD","-"
"MMSI","MERIT MEDICAL SYSTEMS INC","Health Care","Equity","125,425,723.15","0.17","125,425,723.15","1,450,847.00","86.45","United States","NASDAQ","USD","1.00","USD","-"
"NUVL","NUVALENT INC CLASS A","Health Care","Equity","125,356,019.12","0.17","125,356,019.12","1,243,118.00","100.84","United States","NASDAQ","USD","1.00","USD","-"
"BCPC","BALCHEM CORP","Materials","Equity","124,891,429.56","0.17","124,891,429.56","810,878.00","154.02","United States","NASDAQ","USD","1.00","USD","-"
"ABCB","AMERIS BANCORP","Financials","Equity","124,492,656.24","0.17","124,492,656.24","1,682,788.00","73.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HRI","HERC HOLDINGS INC","Industrials","Equity","123,832,974.65","0.17","123,832,974.65","812,819.00","152.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS INC","Information Technology","Equity","123,029,797.20","0.17","123,029,797.20","8,688,545.00","14.16","United States","NASDAQ","USD","1.00","USD","-"
"AX","AXOS FINANCIAL INC","Financials","Equity","122,879,348.32","0.17","122,879,348.32","1,406,264.00","87.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","122,518,791.06","0.17","122,518,791.06","2,389,678.00","51.27","United States","NASDAQ","USD","1.00","USD","-"
"BCO","BRINKS","Industrials","Equity","122,134,280.58","0.17","122,134,280.58","1,048,723.00","116.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMS","MAXIMUS INC","Industrials","Equity","121,930,395.83","0.17","121,930,395.83","1,410,089.00","86.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RDN","RADIAN GROUP INC","Financials","Equity","121,895,813.12","0.17","121,895,813.12","3,393,536.00","35.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SR","SPIRE INC","Utilities","Equity","121,597,269.30","0.17","121,597,269.30","1,461,330.00","83.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PL","PLANET LABS CLASS A","Industrials","Equity","121,028,871.21","0.17","121,028,871.21","5,929,881.00","20.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PI","IMPINJ INC","Information Technology","Equity","120,480,365.04","0.16","120,480,365.04","670,229.00","179.76","United States","NASDAQ","USD","1.00","USD","-"
"RDNT","RADNET INC","Health Care","Equity","120,467,282.10","0.16","120,467,282.10","1,697,918.00","70.95","United States","NASDAQ","USD","1.00","USD","-"
"GPI","GROUP AUTOMOTIVE INC","Consumer Discretionary","Equity","120,308,103.90","0.16","120,308,103.90","306,455.00","392.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COGT","COGENT BIOSCIENCES INC","Health Care","Equity","120,057,410.16","0.16","120,057,410.16","3,455,884.00","34.74","United States","NASDAQ","USD","1.00","USD","-"
"CSW","CSW INDUSTRIALS INC","Industrials","Equity","119,491,870.48","0.16","119,491,870.48","405,016.00","295.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SKY","CHAMPION HOMES INC","Consumer Discretionary","Equity","119,253,462.79","0.16","119,253,462.79","1,404,469.00","84.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNEX","STONEX GROUP INC","Financials","Equity","119,128,946.58","0.16","119,128,946.58","1,223,341.00","97.38","United States","NASDAQ","USD","1.00","USD","-"
"QLYS","QUALYS INC","Information Technology","Equity","118,986,819.27","0.16","118,986,819.27","908,227.00","131.01","United States","NASDAQ","USD","1.00","USD","-"
"ACIW","ACI WORLDWIDE INC","Information Technology","Equity","118,645,042.59","0.16","118,645,042.59","2,597,877.00","45.67","United States","NASDAQ","USD","1.00","USD","-"
"CNX","CNX RESOURCES CORP","Energy","Equity","118,364,691.96","0.16","118,364,691.96","3,246,426.00","36.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAC","MACERICH REIT","Real Estate","Equity","118,361,301.48","0.16","118,361,301.48","6,390,999.00","18.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STEP","STEPSTONE GROUP INC CLASS A","Financials","Equity","116,937,451.94","0.16","116,937,451.94","1,755,554.00","66.61","United States","NASDAQ","USD","1.00","USD","-"
"CRSP","CRISPR THERAPEUTICS AG","Health Care","Equity","116,308,650.29","0.16","116,308,650.29","2,163,077.00","53.77","United States","NASDAQ","USD","1.00","USD","-"
"HCC","WARRIOR MET COAL INC","Materials","Equity","116,108,380.80","0.16","116,108,380.80","1,296,576.00","89.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
